location;loc_coordinates;root_cm;leaf_number;petiole_cm;leaf_length_cm;leaf_width_cm;petiole-total_length-ratio;length-width-ratio;internodium_cm;stem_mm;cauline_leaves;flowers;siliques_number;reproductive_units;plant_length_cm;plant_length-root_length-ratio;mainshoot;sideshoots ;sidebranches;location_comp;longitude_decimal;latitude_decimal;altitude_m
Wechloy_Hof;53°9'7,2, 8°9'52,9884;;11;0,6;2,1;0,4;0,3;5,3;5;1;3;9;13;22;24,4;;y;0;0;Oldenburg;8,164719;53,152233;9
Wechloy_Hof;53°9'7,2, 8°9'52,9884;;11;0,4;1,2;0,4;0,3;3;2,5;0,5;4;4;1;5;5,7;;y;0;0;Oldenburg;8,164719;53,152233;9
HB_Gleise;53°3'54.0792, 8°45'0.3996;;15;0,4;1,2;0,5;0,3;2,4;3,8;1,1;3;48;34;82;25;;y;0;3;;8,750111;53,065022;5
HB_Gleise;53°3'54.0792, 8°45'0.3996;;14;0,5;1,4;0,5;0,4;2,8;2,7;0,5;5;16;8;24;15,7;;y;0;0;;8,750111;53,065022;5
HB_Gleise;53°3'54.0792, 8°45'0.3996;;11;0,3;1,4;0,6;0,2;2,3;4,6;0,5;2;3;6;9;15,1;;y;0;0;;8,750111;53,065022;5
HB_Gleise;53°3'54.0792, 8°45'0.3996;;8;0,1;0,5;0,3;0,2;1,7;6;0,2;2;2;5;7;7,4;;y;0;0;;8,750111;53,065022;5
HB_Gleise;53°3'54.0792, 8°45'0.3996;;8;0,2;0,8;0,3;0,3;2,7;3,8;0,5;3;4;15;19;18,3;;y;0;1;;8,750111;53,065022;5
Spiekeroog_1;53°46'22,8, 7°43'19,2;;6;0,8;2,8;0,9;0,3;3,1;;1;29;17;2;19;;;n;4;6;Spiekeroog;7,722764;53,773727;4
HB_Gleise;53°3'54.0792, 8°45'0.3996;;18;0,7;2;1;0,4;2;6,5;1,1;5;60;37;97;19,5;;y;6;4;;8,750111;53,065022;5
Spiekeroog_1;53°46'22,8, 7°43'19,2;;13;0,3;1;0,3;0,3;3,3;5,4;0,4;12;4;2;6;9,5;;y;0;2;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;;12;0,4;1,2;0,3;0,3;4;;0,5;6;2;6;8;;;n;2;1;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;12;21;0,8;2,1;0,5;0,4;4,2;2,1;2;10;15;39;54;;;n;0;5;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;;4;0,3;1,1;0,4;0,3;2,8;2,2;0,5;4;0;12;12;13,9;;y;0;0;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;;8;0,3;2,1;0,5;0,1;4,2;;0,3;11;6;9;15;0,5;;y;2;0;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;;9;0,6;2,4;0,5;0,3;4,8;6,5;1,1;11;9;50;59;17,5;;y;0;4;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;7,2;18;0,3;1;0,4;0,3;2,5;2;1,2;6;2;43;45;25,6;3,6;y;0;2;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;;11;0,2;1;0,3;0,2;3,3;5,4;0,5;0;0;13;13;13,1;;y;0;0;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;3;10;0,4;0,8;0,2;0,5;4;1,2;0,2;0;0;6;6;4,7;1,6;y;0;0;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;9,4;11;0,1;0,5;0,1;0,2;5;1,9;0,5;0;0;10;10;8,6;0,9;y;0;0;Spiekeroog;7,722764;53,773727;4
Spiekeroog_2;53°46'31,516, 7°43'1,936;;11;1,8;3;0,3;0,6;10;3,7;0,7;4;5;1;6;6,2;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;3,5;17;0,6;1,9;0,4;0,3;4,8;6,5;1,1;1;1;31;32;30,3;8,7;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,7;17;0,3;1,1;0,5;0,3;2,2;1;0,7;8;4;7;11;;;n;2;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,2;11;1,7;2,5;0,3;0,7;8,3;4,8;0,9;5;0;16;16;14;3,3;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;8,4;16;0,9;2;0,3;0,5;6,7;1,3;1,2;6;0;38;38;21,3;2,5;y;0;3;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;12;0,1;0,4;0,1;0,3;4;0,9;0,4;3;0;6;6;3,5;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;9;17;0,9;1,7;0,4;0,5;4,3;2,5;0,5;4;0;20;20;12,5;1,4;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;9;1;1,9;0,4;0,5;4,8;0,6;0,2;5;4;0;4;5;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;7,5;24;1,1;2,5;0,4;0,4;6,3;4,3;0,7;5;0;21;21;18,2;2,4;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;14;0,6;1,1;0,3;0,5;3,7;1,4;0,5;3;0;6;6;5,9;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;13;0,3;1,1;0,3;0,3;3,7;3,6;0,7;5;0;11;11;13;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;14;0,4;1;0,3;0,4;3,3;4,6;0,8;4;0;24;24;18,7;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;20;1;2;0,3;0,5;6,7;0,7;1;6;0;22;22;15,3;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;13;0,4;1;0,2;0,4;5;7,2;0,7;4;0;18;18;19,3;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;10;1,7;3,1;0,4;0,5;7,8;5,3;0,8;5;1;19;20;24,5;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;19;0,4;1,5;0,3;0,3;5;;1;41;0;73;73;;;n;5;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;2,5;5;0,5;1,1;0,2;0,5;5,5;0,3;0,8;1;0;20;20;18,1;7,2;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;8;1,4;2,2;0,2;0,6;11;1,5;0,6;4;0;13;13;12,8;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;6;2,7;4,2;0,4;0,6;10,5;4,3;0,4;1;0;16;16;13;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;11;1,1;2;0,4;0,6;5;4,2;0,7;2;3;12;15;11;;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;13;0,4;1,4;0,6;0,3;2,3;1,9;1,1;5;7;6;13;;;n;0;3;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,3;8;0,2;0,7;0,2;0,3;3,5;2,1;0,4;2;1;3;4;6,3;1,5;y;0;0;Spiekeroog;7,717204;53,775421;6
;;10;21;2,3;3,8;0,6;0,6;6,3;;1,7;20;12;6;18;;;n;3;2;;;;
QP9+HV;53°46'8,734, 7°43'47,453;;8;0,6;1,6;0,6;0,4;2,7;;0,9;5;4;1;5;;;n;2;0;Spiekeroog;7,729848;53,769093;2
QP9+HV;53°46'8,734, 7°43'47,453;;13;0,6;1,5;0,5;0,4;3;;0,6;3;2;0;2;;;n;1;0;Spiekeroog;7,729848;53,769093;2
QP9+HV;53°46'8,734, 7°43'47,453;5,5;15;1,2;2;0,3;0,6;6,7;;1,1;9;6;5;11;;;n;2;0;Spiekeroog;7,729848;53,769093;2
