root_length_cm;length_longest_leaf_cm;petiole_longest_leaf_cm;width_longest_leaf_cm;leaves_number;eaten_leaves;petiole-length-ratio;length-width-ratio;longitude_GMS;latitude_GMS;altitude
;0,725;0,193;0,496;11;n;0,27;1,46;;;
;0,726;0,241;0,4;12;n;0,33;1,82;;;
;0,406;0,13;0,291;12;n;0,32;1,4;;;
;0,421;0,139;0,277;10;n;0,33;1,52;;;
;0,618;0,23;0,305;10;n;0,37;2,03;;;
;0,66;0,242;0,313;10;n;0,37;2,11;;;
;1,099;0,488;0,443;10;n;0,44;2,48;;;
4,13;0,699;0,148;0,372;8;n;0,21;1,88;;;
5,35;0,702;0,291;0,35;14;n;0,41;2,01;;;
;0,755;0,312;0,318;9;n;0,41;2,37;;;
5,1;0,76;0,32;0,386;13;n;0,42;1,97;;;
;1,05;0,481;0,475;10;n;0,46;2,21;;;
;0,724;0,226;0,314;9;n;0,31;2,31;;;
3,15;0,439;0,175;0,301;9;n;0,4;1,46;;;
;0,923;0,379;0,511;9;y;0,41;1,81;;;
;0,441;0,18;0,233;7;n;0,41;1,89;;;
;0,542;0,172;0,302;13;n;0,32;1,79;;;
3,87;0,837;0,313;0,326;10;n;0,37;2,57;;;
;0,723;0,302;0,289;12;y;0,42;2,5;8°9'57.21;"53;9;7.44";49,286
;0,444;0,199;0,248;7;n;0,45;1,79;;;
4,7;0,752;0,28;0,335;12;n;0,37;2,24;;;
2,95;0,714;0,26;0,336;10;n;0,36;2,13;;;
4,65;1,147;0,435;0,432;10;n;0,38;2,66;;;
3,19;0,789;0,418;0,245;11;n;0,53;3,22;;;
;0,821;0,244;0,36;12;n;0,3;2,28;;;
;0,609;0,32;0,278;7;n;0,53;2,19;;;
;0,822;0,317;0,369;11;y;0,39;2,23;;;
3,99;0,978;0,292;0,477;13;n;0,3;2,05;;;
;0,566;0,171;0,263;9;n;0,3;2,15;8°9'56.41;"53;9;7.20";29,518
;NA;NA;NA;NA;NA;;;;;
;0,532;0,17;0,322;8;n;0,32;1,65;;;
;0,835;0,321;0,429;10;n;0,38;1,95;;;
;0,55;0,173;0,229;10;n;0,31;2,4;;;
;0,839;0,314;0,514;12;n;0,37;1,63;;;
;0,862;0,299;0,497;12;n;0,35;1,73;;;
4,83;0,647;0,242;0,271;10;n;0,37;2,39;;;
;0,469;0,156;0,234;7;y;0,33;2;;;
;0,383;0,147;0,184;9;n;0,38;2,08;;;
;0,686;0,29;0,251;13;n;0,42;2,73;;;
;0,703;0,224;0,32;9;n;0,32;2,2;;;
;0,506;0,131;0,313;7;n;0,26;1,62;;;
;0,733;0,282;0,34;13;n;0,38;2,16;;;
2,83;0,591;0,231;0,224;10;n;0,39;2,64;;;
;0,866;0,408;0,416;10;n;0,47;2,08;;;
;0,826;0,383;0,355;10;n;0,46;2,33;;;
4,5;0,732;0,316;0,356;10;n;0,43;2,06;;;
;1,152;0,446;0,636;11;n;0,39;1,81;;;
;0,514;0,183;0,301;7;n;0,36;1,71;;;
;0,733;0,284;0,356;16;y;0,39;2,06;8°9'56.90;"53;9;7.54";41,712
;1,012;0,38;0,404;10;n;0,38;2,5;8°9'57.07;"53;9;7.34";41,472
;1,07;0,429;0,503;12;n;0,4;2,13;;;
;0,726;0,329;0,333;9;n;0,45;2,18;;;
;0,665;0,203;0,419;11;n;0,31;1,59;;;
;0,662;0,267;0,319;11;n;0,4;2,08;;;
;0,639;0,219;0,415;10;n;0,34;1,54;;;
;0,807;0,374;0,36;13;n;0,46;2,24;;;
;0,625;0,228;0,327;9;n;0,36;1,91;;;
;0,672;0,233;0,365;13;n;0,35;1,84;;;
;0,472;0,148;0,243;9;n;0,31;1,94;;;
;0,682;0,224;0,29;13;n;0,33;2,35;8°9'56.89;"53;9;7.42";45,522
;0,668;0,253;0,328;8;n;0,38;2,04;;;
;0,615;0,223;0,373;11;y;0,36;1,65;7°43'21.849;"53;46;27.290";5,939
;0,609;0,217;0,287;12;n;0,36;2,12;7°43'21.799;"53;46;27.380";9,141
;0,82;0,306;0,438;10;n;0,37;1,87;7°43'21.770;"53;46;27.820";11,256
;0,758;0,2;0,467;10;y;0,26;1,62;7°43'33.009;"53;46;5.779";7,135
;0,671;0,209;0,495;10;n;0,31;1,36;7°43'21.919;"53;46;27.779";16,791
;0,734;0,325;0,432;7;n;0,44;1,7;7°43'21.740;"53;46;27.859";8,304
;1,068;0,357;0,549;6;n;0,33;1,95;7°43'21.729;"53;46;27.970";11,476
;0,48;0,184;0,23;8;n;0,38;2,09;7°43'21.380;"53;46;27.959";6,651
;0,627;0,251;0,317;10;n;0,4;1,98;7°43'21.919;"53;46;27.329";4,726
;1,194;0,433;0,549;12;n;0,36;2,17;7°43'31.099;"53;46;6.260";0,789
;0,983;0,303;0,475;7;y;0,31;2,07;7°43'30.750;"53;46;6.079";6,296
;0,504;0,165;0,304;9;n;0,33;1,66;7°43'21.729;"53;46;27.890";10,455
;1,114;0,6;0,489;8;n;0,54;2,28;7°43'21.860;"53;46;27.739";0,656
;0,591;0,224;0,302;9;n;0,38;1,96;7°43'21.759;"53;46;27.269";10,994
;1,009;0,278;0,434;12;n;0,28;2,32;7°43'21.830;"53;46;27.380";9,905
;0,953;0,375;0,442;9;n;0,39;2,16;7°43'21.700;"53;46;27.910";10,382
;0,672;0,146;0,385;7;n;0,22;1,75;7°43'21.799;"53;46;27.489";6,819
;1,214;0,464;0,54;17;n;0,38;2,25;7°43'30.650;"53;46;5.959";15,328
;1,245;0,525;0,452;10;y;0,42;2,75;7°43'30.819;"53;46;6.070";5,549
;0,526;0,205;0,316;9;y;0,39;1,66;7°43'30.869;"53;46;5.970";5,138
;1,342;0,762;0,351;10;n;0,57;3,82;7°43'21.709;"53;46;27.950";12,613
;0,889;0,379;0,39;12;y;0,43;2,28;7°43'31.220;"53;46;5.809";10,493
;1,029;0,393;0,458;11;y;0,38;2,25;7°43'30.979;"53;46;6.220";11,964
;1,007;0,344;0,447;9;y;0,34;2,25;7°43'5.630;"53;46;5.630";20,319
;0,599;0,26;0,326;9;n;0,43;1,84;7°43'21.759;"53;46;27.199";8,791
;0,709;0,272;0,381;8;n;0,38;1,86;7°43'21.840;"53;46;27.329";5,478
;0,693;0,293;0,314;11;n;0,42;2,21;7°43'21.759;"53;46;27.920";11,671
;1,249;0,476;0,53;18;y;0,38;2,36;7°43'30.849;"53;46;6.109";5,169
;0,868;0,277;0,503;8;n;0,32;1,73;7°43'21.869;"53;46;27.299";5,711
;0,946;0,447;0,434;9;n;0,47;2,18;7°43'21.650;"53;46;27.769";9,431
;0,775;0,309;0,375;10;y;0,4;2,07;7°43'21.919;"53;46;27.309";4,708
;1,184;0,636;0,512;9;n;0,54;2,31;7°43'21.860;"53;46;27.739";0,656
;0,843;0,317;0,333;11;n;0,38;2,53;7°43'21.799;"53;46;27.369";9,775
;1,352;0,537;0,521;8;n;0,4;2,6;7°43'30.880;"53;46;6.190";5,039
;0,801;0,294;0,471;12;n;0,37;1,7;7°43'21.880;"53;46;27.309";6,139
;1,1;0,424;0,438;11;n;0,39;2,51;7°43'21.889;"53;46;28.000";12,182
;0,702;0,213;0,391;11;n;0,3;1,8;;;
;0,89;0,306;0,43;8;n;0,34;2,07;7°43'22.000;"53;46;27.269";5,495
;0,675;0,214;0,431;11;n;0,32;1,57;7°43'21.919;"53;46;27.529";5,913
;0,954;0,466;0,422;6;n;0,49;2,26;7°43'21.919;"53;46;27.529";5,913
;0,618;0,202;0,33;9;n;0,33;1,87;7°43'21.950;"53;46;27.309";4,587
;0,603;0,225;0,314;7;n;0,37;1,92;7°43'21.580;"53;46;27.200";8,952
;0,826;0,387;0,334;11;n;0,47;2,47;7°43'21.889;"53;46;27.190";5,356
;0,574;0,188;0,296;8;n;0,33;1,94;7°43'21.979;"53;46;27.679";1,851
;0,419;0,167;0,229;10;n;0,4;1,83;7°43'21.939;"53;46;260";6,285
;0,576;0,278;0,311;7;n;0,48;1,85;7°43'21.700;"53;46;27.910";10,093
;0,851;0,285;0,422;8;n;0,33;2,02;7°43'21.910;"53;46;27.309";5,489
;1,17;0,569;0,396;9;n;0,49;2,95;7°43'21.799;"53;46;27.380";9,295
;1,842;0,717;0,716;16;n;0,39;2,57;7°43'30.819;"53;46;6.100";5,475
;1,202;0,54;0,406;16;n;0,45;2,96;7°43'21.729;"53;46;27.910";12,257
;0,734;0,225;0,38;9;n;0,31;1,93;7°43'21.910;"53;46;27.329";4,453
;0,337;0,105;0,228;8;n;0,31;1,48;7°43'21.770;"53;46;27.369";6,477
;0,68;0,263;0,314;6;n;0,39;2,17;7°43'30.729;"53;46;6.140";4,043
;1,169;0,572;0,437;9;n;0,49;2,68;7°43'21.669;"53;46;27.559";6,499
;0,966;0,513;0,3;10;n;0,53;3,22;7°43'22.029;"53;46;27.660";1,125
;0,648;0,237;0,333;7;n;0,37;1,95;7°43'21.759;"53;46;27.910";12,05
;0,433;0,126;0,289;5;n;0,29;1,5;7°43'21.860;"53;46;27.739";0,656
